DATE,REAINTRATREARAT10Y
4/1/1996,3.10833442
5/1/1996,3.30502587
6/1/1996,3.49408029
7/1/1996,3.36926055
8/1/1996,3.32941538
9/1/1996,3.52082209
10/1/1996,3.31834947
11/1/1996,3.14164675
12/1/1996,2.95093511
1/1/1997,3.2548678
2/1/1997,3.21337489
3/1/1997,3.3085558
4/1/1997,3.55047337
5/1/1997,3.43698117
6/1/1997,3.27910832
7/1/1997,3.19987642
8/1/1997,3.0885119
9/1/1997,3.15086952
10/1/1997,3.01659074
11/1/1997,2.97295683
12/1/1997,2.91985104
1/1/1998,2.84030163
2/1/1998,2.77706891
3/1/1998,2.85251196
4/1/1998,2.84606553
5/1/1998,2.89304228
6/1/1998,2.87099745
7/1/1998,2.77070571
8/1/1998,2.77934018
9/1/1998,2.49623921
10/1/1998,1.93514547
11/1/1998,2.22103048
12/1/1998,2.22957981
1/1/1999,2.30815245
2/1/1999,2.36759019
3/1/1999,2.71035881
4/1/1999,2.67778993
5/1/1999,2.70423805
6/1/1999,3.11656311
7/1/1999,3.0055618
8/1/1999,3.10154331
9/1/1999,3.16946543
10/1/1999,3.14292186
11/1/1999,3.14725353
12/1/1999,3.1922035
1/1/2000,3.41105112
2/1/2000,3.51334339
3/1/2000,3.44034736
4/1/2000,3.20296665
5/1/2000,3.3605311
6/1/2000,3.1278929
7/1/2000,3.06235485
8/1/2000,3.04561328
9/1/2000,2.88599618
10/1/2000,2.87662559
11/1/2000,2.83313793
12/1/2000,2.63921042
1/1/2001,2.25143294
2/1/2001,2.26701398
3/1/2001,2.26729473
4/1/2001,2.22098391
5/1/2001,2.43341797
6/1/2001,2.52645602
7/1/2001,2.52836744
8/1/2001,2.33436142
9/1/2001,2.17776797
10/1/2001,1.98693245
11/1/2001,1.81476553
12/1/2001,2.0405763
1/1/2002,2.52349996
2/1/2002,2.40007343
3/1/2002,2.42129018
4/1/2002,2.70112632
5/1/2002,2.35054993
6/1/2002,2.31986391
7/1/2002,2.14192855
8/1/2002,1.74226259
9/1/2002,1.44610825
10/1/2002,1.26869564
11/1/2002,1.39558681
12/1/2002,1.69225366
1/1/2003,1.48820174
2/1/2003,1.466379
3/1/2003,1.22359095
4/1/2003,1.30961847
5/1/2003,1.37072098
6/1/2003,0.90511574
7/1/2003,1.12868896
8/1/2003,1.75170446
9/1/2003,1.89723825
10/1/2003,1.38081936
11/1/2003,1.71390165
12/1/2003,1.71357266
1/1/2004,1.70195436
2/1/2004,1.57158074
3/1/2004,1.47016466
4/1/2004,1.35814941
5/1/2004,1.88324516
6/1/2004,1.94657611
7/1/2004,1.93379862
8/1/2004,1.85580269
9/1/2004,1.48469164
10/1/2004,1.6871063
11/1/2004,1.60768876
12/1/2004,1.90953662
1/1/2005,1.7792759
2/1/2005,1.81315912
3/1/2005,1.97934111
4/1/2005,2.02052684
5/1/2005,1.78986568
6/1/2005,1.66688811
7/1/2005,1.82002108
8/1/2005,2.00821677
9/1/2005,1.73569017
10/1/2005,1.96704484
11/1/2005,2.07568901
12/1/2005,2.01834727
1/1/2006,2.06484172
2/1/2006,2.20441278
3/1/2006,2.38362088
4/1/2006,2.35839303
5/1/2006,2.40637015
6/1/2006,2.45080986
7/1/2006,2.49634953
8/1/2006,2.2982861
9/1/2006,2.20605719
10/1/2006,2.21206207
11/1/2006,2.1998854
12/1/2006,2.12213778
1/1/2007,2.14807579
2/1/2007,2.28715091
3/1/2007,2.0249864
4/1/2007,2.07748685
5/1/2007,2.0318442
6/1/2007,2.24630973
7/1/2007,2.37357342
8/1/2007,2.13388077
9/1/2007,1.94622258
10/1/2007,1.98911422
11/1/2007,1.82624712
12/1/2007,1.38696881
1/1/2008,1.39949068
2/1/2008,1.11112286
3/1/2008,1.02522008
4/1/2008,1.06289422
5/1/2008,1.40051629
